Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Print Placement,Cost per item,Status
kaseem Tank Top 2,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-2-3-M,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,11,active
kaseem Tank Top 2,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-2-3-L,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,11,active
kaseem Tank Top 2,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-2-3-XL,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,11,active
kaseem Tank Top 2,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-2-3-XXL,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,13,active
kaseem Hoodie 2,kaseem - one - White Hoodie,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, Pull-Over",TRUE,Size,XS,,,,,kstephTOP-2-4-XS,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-2-4-F_mockup.png?v=1680020833,1,,FALSE,,,,,,,,,,,,,,,,,oz,,White Hoodie 1 Placement,23,active
kaseem Hoodie 2,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-2-4-S,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,23,active
kaseem Hoodie 2,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-2-4-M,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,23,active
kaseem Hoodie 2,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-2-4-L,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,23,active
kaseem Hoodie 2,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-2-4-XL,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,23,active
kaseem Hoodie 2,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-2-4-XXL,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,25,active
kaseem Zip Up Hoodie 2,kaseem - one - White Zip Up Hoodie,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, Zip-Up",TRUE,Size,XS,,,,,kstephTOP-2-5-XS,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-2-5-F_mockup.png?v=1680020833,1,,FALSE,,,,,,,,,,,,,,,,,oz,,White Zip Hoodie 2 Placements,32,active
kaseem Zip Up Hoodie 2,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-2-5-S,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-2-5-B_mockup.png?v=1680020833,,,,,,,,,,,,,,,,,,,,oz,,,32,active
kaseem Zip Up Hoodie 2,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-2-5-M,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,32,active
kaseem Zip Up Hoodie 2,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-2-5-L,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,32,active
kaseem Zip Up Hoodie 2,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-2-5-XL,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,32,active
kaseem Zip Up Hoodie 2,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-2-5-XXL,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,34,active
kaseem T-Shirt 3,kaseem - two - Black T Shirt,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, T-Shirt",TRUE,Size,XS,,,,,kstephTOP-3-1-XS,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-3-1-F_mockup.png?v=1680020882,1,,FALSE,,,,,,,,,,,,,,,,,oz,,Black T-Shirt 1 placement,12,active
kaseem T-Shirt 3,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-3-1-S,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,12,active
kaseem T-Shirt 3,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-3-1-M,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,12,active
kaseem T-Shirt 3,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-3-1-L,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,12,active
kaseem T-Shirt 3,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-3-1-XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,12,active
kaseem T-Shirt 3,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-3-1-XXL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,14,active
kaseem T-Shirt 3,,Merch By MerchBooth,,,,,,,3XL,,,,,kstephTOP-3-1-3XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,15,active
kaseem T-Shirt 3,,Merch By MerchBooth,,,,,,,4XL,,,,,kstephTOP-3-1-4XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,16,active
kaseem T-Shirt 3,,Merch By MerchBooth,,,,,,,5XL,,,,,kstephTOP-3-1-5XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,17,active
kaseem Long Sleeve T 3,kaseem - two - Black Long Sleeve T,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, Long-Sleeve",TRUE,Size,XS,,,,,kstephTOP-3-2-XS,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-3-2-F_mockup.png?v=1680020882,1,,FALSE,,,,,,,,,,,,,,,,,oz,,Black Long Sleeve 1 Placement,16,active
kaseem Long Sleeve T 3,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-3-2-S,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,16,active
kaseem Long Sleeve T 3,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-3-2-M,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,16,active
kaseem Long Sleeve T 3,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-3-2-L,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,16,active
kaseem Long Sleeve T 3,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-3-2-XL,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,16,active
kaseem Long Sleeve T 3,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-3-2-XXL,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,18,active
kaseem Tank Top 3,kaseem - two - Black Tank Top,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, Tank-Top",TRUE,Size,XS,,,,,kstephTOP-3-3-XS,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-3-3-F_mockup.png?v=1680020882,1,,FALSE,,,,,,,,,,,,,,,,,oz,,Black Tank Top 1 Placement,13,active
kaseem Tank Top 3,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-3-3-S,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,13,active
kaseem Tank Top 3,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-3-3-M,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,13,active
kaseem Tank Top 3,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-3-3-L,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,13,active
kaseem Tank Top 3,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-3-3-XL,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,13,active
kaseem Tank Top 3,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-3-3-XXL,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,15,active
kaseem Hoodie 3,kaseem - two - Black Hoodie,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, Pull-Over",TRUE,Size,XS,,,,,kstephTOP-3-4-XS,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-3-4-F_mockup.png?v=1680020882,1,,FALSE,,,,,,,,,,,,,,,,,oz,,Black Hoodie 1 Placement,25,active
kaseem Hoodie 3,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-3-4-S,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,25,active
kaseem Hoodie 3,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-3-4-M,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,25,active
kaseem Hoodie 3,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-3-4-L,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,25,active
kaseem Hoodie 3,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-3-4-XL,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,25,active
kaseem Hoodie 3,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-3-4-XXL,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,27,active
kaseem Zip Up Hoodie 3,kaseem - two - Black Zip Up Hoodie,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, Zip-Up",TRUE,Size,XS,,,,,kstephTOP-3-5-XS,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-3-5-F_mockup.png?v=1680021001,1,,FALSE,,,,,,,,,,,,,,,,,oz,,Black Zip Hoodie 2 Placements,35,active
kaseem Zip Up Hoodie 3,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-3-5-S,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-3-5-B_mockup.png?v=1680020882,,,,,,,,,,,,,,,,,,,,oz,,,35,active
